Taxon	Mnemonic	Scientific name
94182	ARCTR	Arctogalidia trivirgata
139308		Arctonyx
139309	ARCCL	Arctonyx collaris
1825729		Arctotherium
1825730		Arctotherium sp.
148023		Ardops
148034	ARDNC	Ardops nichollsi
526815		Arielulus
867897		Arielulus aureocollaris
867814		Arielulus circumdatus
526816		Arielulus cuprosus
2093339		Arielulus sp. GS16483
2093325		Arielulus torquatus
148024		Ariteus
148035	ARIFL	Ariteus flavescens
9416		Artibeus
283491	ARTAM	Artibeus amplus
51015	ARTAD	Artibeus anderseni
40239	ARTAZ	Artibeus aztecus
416809		Artibeus cf. jamaicensis
410850		Artibeus cf. obscurus
40224	ARTCI	Artibeus cinereus
40225	ARTCO	Artibeus concolor
51010	ARTFI	Artibeus fimbriatus
51011	ARTFR	Artibeus fraterculus
40226	ARTGA	Artibeus glaucus
40227	ARTGG	Artibeus glaucus gnomus
362872		Artibeus glaucus rosenbergii
51016	ARTGW	Artibeus glaucus watsoni
27654	ARTHA	Artibeus hartii
51012	ARTHI	Artibeus hirsutus
51013	ARTIO	Artibeus inopinatus
51014	ARTIT	Artibeus intermedius
9417	ARTJA	Artibeus jamaicensis
406805		Artibeus jamaicensis aequatorialis
406806		Artibeus jamaicensis jamaicensis
406807		Artibeus jamaicensis parvipes
256420		Artibeus jamaicensis paulus
256419		Artibeus jamaicensis richardsoni
211472		Artibeus jamaicensis triomylus
211471		Artibeus jamaicensis yucatanicus
27634	ARTLI	Artibeus lituratus
40228	ARTOB	Artibeus obscurus
40229	ARTPH	Artibeus phaeotis
40230	ARTPL	Artibeus planirostris
406808		Artibeus planirostris fallax
406809		Artibeus planirostris grenadensis
406810		Artibeus planirostris hercules
406811		Artibeus planirostris planirostris
406812		Artibeus planirostris trinitatis
406813		Artibeus schwartzi
1002695		Artibeus sp. AVB-2011
1105487		Artibeus sp. BOLD:AAA2159
1105488		Artibeus sp. BOLD:AAA2160
1105489		Artibeus sp. BOLD:AAA2332
416810		Artibeus sp. FURB
887799		Artibeus sp. JRA-2010
40240	ARTTL	Artibeus toltecus
91561	9CETA	Artiodactyla
948948		Artiodactyla sp. BOLD:AAB5105
1068516		Artiodactyla sp. BOLD:AAF0651
948949		Artiodactyla sp. BOLD:AAF1037
1068517		Artiodactyla sp. BOLD:AAI4481
61153		Arvicanthis
61154		Arvicanthis abyssinicus
2590535		Arvicanthis aff. niloticus 'C2C4'
204747	ARVAN	Arvicanthis ansorgei
1890051		Arvicanthis blicki
1380342		Arvicanthis cf. niloticus GJK-2013
61155		Arvicanthis dembeensis
70341		Arvicanthis nairobae
121563		Arvicanthis neumanni
61156	ARVNI	Arvicanthis niloticus
2592602		Arvicanthis niloticus complex sp. 'C2-C4'
2592601		Arvicanthis rufinus
61157	ARVSO	Arvicanthis somalicus
61158		Arvicanthis sp.
1380344		Arvicanthis sp. 1 GJK-2013
2590532		Arvicanthis sp. 'ANI6'
870961		Arvicanthis sp. GGD-2010
122204		Arvicanthis sp. Koumbala
122200		Arvicanthis sp. Kyambura
2592600		Arvicanthis sp. 'Masai Mara'
2590533		Arvicanthis sp. 'Menangesha'
2590534		Arvicanthis sp. 'Metahara'
10049		Arvicola
1047088	ARVAM	Arvicola amphibius
2654748		Arvicola persicus
88454	ARVSA	Arvicola sapidus
1276134		Arvicola scherman
39087		Arvicolinae
578339		Asellia
1932780		Asellia arabica
1932781		Asellia italosomalica
578340		Asellia tridens
188567		Aselliscus
1873076		Aselliscus dongbacana
1882412		Aselliscus sp. Zz-2016a
188568		Aselliscus stoliczkanus
409885		Aselliscus tricuspidatus
35508		Asinus
9367		Atelerix
9368	ATEAB	Atelerix albiventris
30576	ATEAL	Atelerix algirus
1506268		Atelerix frontalis
2547254		Atelerix sp. isolate 398 CF-2019
2547255		Atelerix sp. isolate 404 CF-2019
2547256		Atelerix sp. isolate 406 CF-2019
2547257		Atelerix sp. isolate 6610 CF-2019
2547258		Atelerix sp. isolate 6623 CF-2019
2547259		Atelerix sp. isolate 6647 CF-2019
2547260		Atelerix sp. isolate 6651 CF-2019
2547261		Atelerix sp. isolate 6781 CF-2019
2547262		Atelerix sp. isolate 6791 CF-2019
9506		Ateles
9507	ATEBE	Ateles belzebuth
118644		Ateles belzebuth marginatus
118643	ATECH	Ateles chamek
9508	ATEFU	Ateles fusciceps
183327	ATEFR	Ateles fusciceps robustus
1497546		Ateles fusciceps rufiventris
9509	ATEGE	Ateles geoffroyi
1497547		Ateles geoffroyi azuerensis
795835		Ateles geoffroyi frontatus
1214775		Ateles geoffroyi ornatus
118647		Ateles geoffroyi panamensis
118648		Ateles geoffroyi vellerosus
118649		Ateles geoffroyi yucatanensis
129801		Ateles hybridus
1230481		Ateles hybridus hybridus
1529884		Ateles marginatus
9510	ATEPA	Ateles paniscus
36234		Ateles paniscus x Ateles fusciceps
9511	ATESP	Ateles sp.
1967450		Ateles sp. EG-2017
119629		Ateles sp. haplotype Abh10
119630		Ateles sp. haplotype Abh11
119638		Ateles sp. haplotype Abh19
119628		Ateles sp. haplotype Abh9
119632		Ateles sp. haplotype Afr19
119633		Ateles sp. haplotype Afr20
119634		Ateles sp. haplotype Afr21
119640		Ateles sp. haplotype Afr27
119639		Ateles sp. haplotype Agp13
119631		Ateles sp. haplotype Agsubspp. 16
278713		Ateles sp. JPV-2004
269772		Ateles sp. KO-2004
378855		Atelidae
38068		Atelinae
68721		Atelocynus
68722	ATEMI	Atelocynus microtis
34835		Atherurus
192881		Atherurus africanus
34836	ATHMA	Atherurus macrourus
210641		Atilax
210642	ATIPA	Atilax paludinosus
226854		Atlantoxerus
226855		Atlantoxerus getulus
29103		Auliscomys
164752	AULBO	Auliscomys boliviensis
89122	AULMI	Auliscomys micropus
29104	AULPI	Auliscomys pictus
59933		Auliscomys sublimis
122245		Avahi
402244	AVACL	Avahi cleesei
122246	AVALA	Avahi laniger
132108	AVAOC	Avahi occidentalis
1313323		Avahi peyrierasi
402239	AVAUN	Avahi unicolor
9855		Axis
30531	AXIAX	Axis axis
948700		Axis kuhlii
57737	AXIPR	Axis porcinus
1604776		Axis porcinus annamiticus
162955		Axis porcinus porcinus
41805		Babyrousa
41806	BABBA	Babyrousa babyrussa
1303000		Babyrousa celebensis
56218		Baiomys
213557	BAIMU	Baiomys musculus
56219	BAITA	Baiomys taylori
2716775		Baiyankamys
2716776		Baiyankamys habbema
27601		Balaena
27602	BALMY	Balaena mysticetus
30558		Balaenidae
9766		Balaenoptera
9767	BALAC	Balaenoptera acutorostrata
310752	BALAS	Balaenoptera acutorostrata scammoni
487985		Balaenoptera acutorostrata subsp. unnamed
33556	BALBN	Balaenoptera bonaerensis
9768	BALBO	Balaenoptera borealis
255365	BALBR	Balaenoptera brydei
9769	BALED	Balaenoptera edeni
9771	BALMU	Balaenoptera musculus
85550		Balaenoptera musculus x Balaenoptera physalus
255217	BALOM	Balaenoptera omurai
9770	BALPH	Balaenoptera physalus
30557		Balaenoptera sp.
9765		Balaenopteridae
37034		Balaenopteridae gen. sp.
148079		Balantiopteryx
463802		Balantiopteryx infusca
463801		Balantiopteryx io
249010	BALPL	Balantiopteryx plicata
77228		Balionycteris
77229	BALMA	Balionycteris maculata
69078		Bandicota
69079		Bandicota bengalensis
1972514		Bandicota bengalensis gracilis
1972515		Bandicota bengalensis insularis
456472	BANIN	Bandicota indica
456473	BANSA	Bandicota savilei
1542950		Bandicota sp.
59448		Barbastella
59449	BARBR	Barbastella barbastellus
452650		Barbastella beijingensis
2505955		Barbastella caspica
999320		Barbastella darjelingensis
187009		Barbastella leucomelas
2505956		Barbastella pacifica
187022		Barbastella sp. 7184
48421		Bassaricyon
392506		Bassaricyon alleni
298412		Bassaricyon beddardi
48422	BASGA	Bassaricyon gabbii
429566		Bassaricyon gabbii gabbii
1387127		Bassaricyon medius
1387132		Bassaricyon medius medius
1387079		Bassaricyon medius orinomus
1386914		Bassaricyon neblina
1387096		Bassaricyon neblina neblina
429568		Bassaricyon sp. H018
429569		Bassaricyon sp. H021
55046		Bassariscus
55047	BASAS	Bassariscus astutus
392507		Bassariscus sumichrasti
1617258		bat environmental sample
10167		Bathyergidae
10170		Bathyergus
10171	BATJA	Bathyergus janetta
363601		Bathyergus sp. CAM-2005
10172	BATSU	Bathyergus suillus
234627		Batomys
234628	BATGR	Batomys granti
2219196		Batomys hamiguitan
349693	BATSA	Batomys salomonseni
2219197		Batomys uragon
326575		Bdeogale
326576		Bdeogale crassicauda
